"MeterId","Customer","Consumption","GPS_Location_X","GPS_Location_Y"
"SEADC0002005715","1000006-5006743461","20800","-25.83841967","28.29778367"
"SEADC0001844815","1000413-5005748027","21524","-25.87802217","28.20531417"
"SECDA0000549014","100084-3311006084","17400","-25.8423125","28.10739267"
"SECDA0000145114","100138-5008094526","714498","-25.8","28.2"
"SECDA0000091614","100193-5010541619","1913700","-25.84483","28.19143"
"SECDA0000174714","1002804-5004914102","261840","-25.74407","28.23691"
"SEADC0001993915","1002808-5004914233","17660","-25.85131767","28.21190017"
"SECDA0001477814","100297-3303621745","2189440","-25.87099483","28.212556"
"SEBDC0000658514","100346-5008382067","59869","-25.87831083","28.20435933"
"SEBDC0000851914","100364-5000317118","0","-25.75860933","28.214638"
"SECDA0001544414","100429-3303625767","1061840","-25.8853","28.22528"
"SECDA0001489614","100493-5003367548","129180","-25.83793183","28.2399765"
"SEEBA0000405514","100512-5007638580","1688000","-25.87394217","28.19333583"
"SECDA0001551814","100550-5000488214","3347800","-25.894227","28.1365015"
"SEADC0001841215","100576-3329319975","44662","-25.869677","28.2089305"
"SECDA0000478414","100582-3303631076","2230717","-25.87674633","28.21173"
"SECDA0000454314","1006394-5004951899","34000","-25.62461433","28.10071683"
"SECDA0000496414","100745-3303636825","1434119","-25.847786","28.2218955"
"SECDA0000470414","1007532-5004965083","102520","-25.7642495","28.4228695"
"SEBDC0000600514","1007544-5008542102","123500","-25.77750717","28.23400483"
"SECDA0001437814","1007554-5009405159","641920","-25.7570125","28.19353767"
"SECDA0000261414","1007605-5004969657","220620","-25.67937","28.17525"
"SEADC0001762515","100761-3311049165","15205","-25.86851383","28.21088"
"SEBDC0000732414","1007816-5004969437","171329","-25.63262033","28.11401317"
"SECDA0000119914","1007840-5004970003","1128800","-25.83909","28.32197"
"SECDA0001443614","100787-9000012355","569599","-25.83061483","28.19874217"
"SEADC0001627314","1007903-5009768960","43466","-25.81958","28.31977"
"SEADC0001807915","1007947-5005592117","23724","-25.8194545","28.32991267"
"SECDA0001449714","100797-3303638444","706800","-25.8344305","28.20110783"
"SEADC0001752315","1007971-5004973117","4198","-25.76897717","28.37458"
"SECDA0000226414","1008078-5009049701","981600","-25.73986","28.20321"
"SECDA0000349714","1008081-5004976719","1136320","-25.67492367","28.141482"
"SEADC0001734815","1008238-5004977406","50469","-25.77356967","28.37898333"
"SEADC0001785415","1008392-5004980279","33222","-25.76722333","28.36790883"
"SEBDC0001000114","1008392-5007060474","113872","-25.63593983","28.10107883"
"SECDA0000276614","100843-5002368916","464400","-25.83953","28.19885"
"SEBDC0000754414","1008756-5004990657","23194","-25.76817183","28.3641795"
"SECDA0000360214","1008783-5004990789","214960","-25.7466155","28.294172"
"SEBDC0000823214","1008930-5004992528","276184","-25.85502317","28.14212067"
"SECDA0001447514","1008986-5004993389","145880","-25.872046","28.26036733"
"SECDA0001560614","1009102-5004995705","211680","-25.66001317","28.2387845"
"SECDA0000460014","1009225-5006674265","88720","-25.839377","28.105312"
"SECDA0000258914","1009259-5004997546","856080","-25.89949517","28.16021383"
"SECDA0000183814","1009271-5004997554","576640","-25.66968","28.2582"
"SEADC0001950515","1009326-5004997945","47231","-25.75707717","28.25463333"
"SEBDC0000879014","1009352-5005000709","90180","-25.68215633","28.1975875"
"SECDA0000282214","1009366-5005803194","592556","-25.818873","28.2825385"
"SEADC0001934715","1009388-5009749761","31270","-25.824711","28.306842"
"SEADC0001704715","1009420-5005001356","25615","-25.8747655","28.198807"
